,video_id,published_at,title,channel_title,view_count,like_count,favorite_count,comment_count,duration,definition
0,uexN9gs5gvM,2023-05-04T19:01:39Z,Dei V x Myke Towers - Trending Remix (Official Video),Dei V,14735004,117530,0,1076,00:04:33,hd
1,WXPfcRnz9Z8,2023-01-19T20:02:53Z,Trending - Dei V (Official Video),Dei V,6228419,62711,0,911,00:02:39,hd
2,K-mV_8aeQsk,2023-06-23T14:00:15Z,Most Unbelievable Moments Ever Caught On Camera !,Novella,7501791,38685,0,1138,00:11:04,hd
3,hplD4QyV4Q8,2019-02-24T03:00:05Z,Squash - Trending (Official Video),SquashVEVO,15445316,100024,0,2370,00:03:06,hd
4,XqHLbmM6Iew,2023-11-23T12:35:32Z,TRENDING રીધમ || ROHIT THAKOR || rohit thakor live program 😊 song || #rohitthakor,SK OFFICIAL PUNAJ,1049158,14913,0,136,00:05:32,hd
5,JPsGfy9mWP4,2023-11-27T08:14:58Z,Trending ridham tone || Instagram viral music tone || Rohit thakor || #rohitthakor #trendingtone,Mahakali Studio Chared,488071,8239,0,46,00:05:32,hd
6,n4aBl6wp6RE,2024-02-20T16:08:15Z,Top Songs 2024 ♪ Pop Music Playlist ♪ Music New Songs 2024,Magic Music,41546,5433,0,0,00:00:00,sd
7,JyC8kzC_K7c,2023-06-14T15:07:03Z,🤣❤️@KiaroYun  #shorts #gacha #gachaclub #gachalife #trending ##gachameme,Angel_zayna•,4137433,412803,0,3670,00:00:19,hd
8,aY7uyaWutvE,2023-10-01T06:30:00Z,🗿 🗿  #viral #trending #shorts #trendingshorts #reels #attitude #sigma #foryou,Shahanwazgour,27167216,1113123,0,1837,00:00:32,hd
9,DF60aPfxJFY,2023-06-01T09:46:11Z,"Dei V, Myke Towers - Trending Remix (Letra/Lyrics)",Verses & Vibes,269176,1530,0,9,00:03:46,hd
10,6bkHBVnID_M,2024-01-19T18:32:31Z,Arrested man helps cop choking on gum #foryou #fypシ #trending #trend #coldedits #deep #sadedits,Catching Killers,55079412,3077246,0,30310,00:00:40,hd
11,jV__u-kOGD0,2023-01-07T14:35:00Z,ME And My SISTER Did This TREND! ✨ #roblox #shorts #trending,Aati Plays,2549041,148238,0,1495,00:00:34,hd
12,yrfqecBckmE,2024-02-05T18:11:56Z,Spar Lady Trending Video Original,iReport South Africa,898634,779,0,123,00:01:47,hd
13,sCWg9c_dGwk,2024-02-14T17:51:54Z,Razvodi Koji Su Šokirali Sve,TRENDING,12343,130,0,17,00:36:08,hd
14,nE5-5w2x1BM,2023-05-10T05:46:11Z,Tora Song Most Popular🔥|#tappuparmar #trending #attitude #shorts #short,Tappu Honey Parmar,66072576,1100527,0,1875,00:00:13,hd
15,1YnkZS9e8MA,2017-08-11T04:16:07Z,Moneybagg Yo - Trending [Federal 3],DatPiff,9530721,75178,0,1299,00:03:30,hd
16,NV66oI4wuGQ,2023-06-08T09:23:40Z,capcut new trending video editing 💥🔥#shorts,SPY_eee,2001987,,0,193,00:00:15,hd
17,bAMaF3zkgj8,2023-02-25T12:23:56Z,Baby - First school love story 💜🛐 #trend #4k #trending #4kvideo #edit #viral #baby #justinbieber,𝐁𝐑𝐔𝐍𝐍𝐀𝐄𝐃𝐈𝐓𝐒,21729819,1161555,0,1152,00:00:20,hd
18,QyOU0I0shXc,2022-12-15T22:15:52Z,TRENDING TikTok Song!,Flighthouse,52885376,1318599,0,1476,00:00:26,hd
19,N0i4mUZFSgs,2022-04-13T17:21:57Z,"We Set The Trends (Remix) (Official Video) - Jim Jones, Lil Wayne, Dj Khaled, Migos, Ju...",JimJonesVEVO,14340543,181940,0,7699,00:04:01,hd
20,Em4ySqujlOg,2024-02-15T17:05:44Z,Kanje Iskopirao Karleušu - Ona Oplela Po Breskvici A Pohvalila Ove Učesnike PZE,TRENDING,13209,238,0,26,00:08:07,hd
21,E8zMZKRdxsM,2023-05-14T06:04:57Z,TikTok Dance Challenge 2023 🧛  What Trends Do You Know ?,TikTok Vibe ,9778032,45382,0,712,00:03:05,hd
22,nqzIQh2D_Es,2018-03-15T04:29:14Z,Trending Nakhra (Full Video) | Amrit Maan ft. Ginni Kapoor | Intense || Punjabi Songs 2018,Bamb Beats,333456133,1968340,0,65079,00:05:05,hd
23,pk6LmcKURgk,2022-04-28T10:00:53Z,This song always go VIRAL! 😂😜 #faffapix #teamfaffapix #gigidag #trend #viral #viralsound #viralsong,Faffapix Shorts,132840816,2362282,0,2983,00:00:16,hd
24,vzNg-h3Wf48,2023-05-02T15:11:29Z,How to Find Trending Topics #ytshorts #trending #shorts,ai tools and tips,468517,,0,116,00:00:24,hd
25,2B-rsHoN0aA,2024-01-17T12:59:45Z,Kurchi Madathapetti 🔥🔥💃💃 #love #dance #shorts #trending,Ramya Ranganathan (Rsquared),10636650,440443,0,2567,00:00:46,hd
26,aEkJWv8C4Z0,2023-06-08T04:03:39Z,Good morning to you all❤️🙏 #dance #trending #viral #funny #viraldance #subscribe #support #comment,Hypers kids africa,146072252,,0,82643,00:00:48,hd
27,NaRc82bYhUY,2023-05-25T09:04:16Z,Confidence level 💯% #freefire #tondegamer #shorts,Tonde Gamer,21878450,1920287,0,5859,00:00:23,hd
28,Urscz5gAQ9A,2024-01-01T00:11:50Z,MEXICANS DONT CARE #wisespade7 #asmr #diy #trending #yapping,WISEspade7,11430470,431132,0,16087,00:00:59,hd
29,gi4aWFGI7nA,2023-05-17T07:30:06Z,Indian Army Training Indore Physical Academy shorts #shorts #viral #trending #army #indianarmy,SURAJ FACTS,106708718,2812219,0,2314,00:00:34,hd
30,9SkezTwTxKA,2023-11-12T06:30:03Z,🔥🔥 #viral #motivation #sigmaattitude #trending #gym #gymmotivation #reels #attitude #instagram,Shahanwazgour,12072396,653941,0,3582,00:00:29,hd
31,lBzemN-JC78,2022-09-25T18:15:05Z,I love this trend #shorts,Brooke Monk,17903667,679623,0,22476,00:00:14,hd
32,Urdz-97thSk,2022-08-19T22:00:12Z,Young Miko - Trending,Young Miko,2706176,59297,0,1354,00:03:04,hd
33,MpLaDn82FtI,2023-10-10T10:00:14Z,Moye Moye - #1 Trending Song - Teya Dora - Džanum (Juzni Vetar - Na Granici),Song Music,25115528,328016,0,11441,00:02:35,hd
34,uMWlvEIvfXc,2024-02-15T12:00:53Z,Crazy Civil Engineer House Atrocities | 🤣கொத்தனார் கொடுமைகள்🤣 - Today trending troll,Today Trending,157148,4003,0,74,00:09:42,hd
35,nm7XtYXSZ0c,2023-01-30T16:22:39Z,BABY #trend #shorts #4k #trending #edit #4kvideo,𝐁𝐑𝐔𝐍𝐍𝐀𝐄𝐃𝐈𝐓𝐒,29276620,1082142,0,2036,00:00:15,hd
36,5QPygwuQPs8,2023-03-22T11:00:08Z,"FEMINNEM ft. Alejuandro Buendija, TRENDING (official video)",FEMINNEM,283081,1896,0,195,00:03:22,hd
37,_LHomRemd0g,2024-01-12T17:00:09Z,BHM Pezzy - Webbie Flow (Official Music Video) #trending #bhmpezzy #viral,BHM PEZZY,1448886,24310,0,673,00:02:19,hd
38,GE6Oa7jBGIY,2023-06-14T13:53:49Z,I loved this trend #as #throwback #shorts #viral,sara carstens,14649392,670029,0,2865,00:00:27,hd
39,Kou6dgRQY64,2019-01-30T16:59:44Z,Shenseea - Trending Gyal (Official Music Video),SHENSEEAVEVO,13823399,107235,0,2162,00:03:56,hd
40,YQqp7QJNq0k,2023-06-14T02:55:49Z,कुछ नोटिस करो 🤩🤣🏏 #cricket #shorts #reels #love #top #viral #trending #cricketvideos #himanshu_46,himanshu_46,77335579,1726647,0,1491,00:00:10,hd
